iter	Logloss
0	0.6282539464
1	0.5754456491
2	0.536485992
3	0.5071518775
4	0.4823452245
5	0.4626429974
6	0.446552437
7	0.434823805
8	0.4243602011
9	0.4162769798
10	0.4091456501
11	0.4032706159
12	0.3990567084
13	0.395957139
14	0.3933785202
15	0.3902317539
16	0.3883346232
17	0.3864914363
18	0.3845033218
19	0.3827270169
20	0.3817820221
21	0.3803620805
22	0.3790543635
23	0.3772825498
24	0.3757757595
25	0.3746984367
26	0.3735051208
27	0.3725928535
28	0.3718157856
29	0.3705194691
30	0.3696943485
31	0.3692493953
32	0.3687662555
33	0.3678785815
34	0.3667770521
35	0.3660894034
36	0.3654870237
37	0.3643797667
38	0.3635073717
39	0.3628008755
40	0.3617961203
41	0.3611177694
42	0.3605156732
43	0.3601092935
44	0.3595373489
45	0.3590358592
46	0.3586872427
47	0.3580385198
48	0.3576153057
49	0.3565054632
50	0.3558843265
51	0.3554001682
52	0.3550433461
53	0.3544469821
54	0.3536662393
55	0.3530271525
56	0.3521971301
57	0.3518006809
58	0.351283913
59	0.3506302327
60	0.3503291253
61	0.3496648804
62	0.3492509647
63	0.3483487392
64	0.3477510743
65	0.3469080257
66	0.3461798272
67	0.3456707047
68	0.3452455572
69	0.3448224848
70	0.3443749244
71	0.3434744586
72	0.3425599425
73	0.342183362
74	0.3417057202
75	0.341267359
76	0.3403503576
77	0.3398991063
78	0.3393860629
79	0.3387728625
80	0.3382504491
81	0.3376648927
82	0.3367544309
83	0.3359884622
84	0.3353696012
85	0.3350344149
86	0.3345657683
87	0.3341682834
88	0.3337501503
89	0.3333041371
90	0.3326167135
91	0.3321649328
92	0.3315280183
93	0.3307807688
94	0.330145603
95	0.3294873299
96	0.3285836758
97	0.3279965352
98	0.3274221706
99	0.3268716984
100	0.3264745149
101	0.3259729992
102	0.3252173915
103	0.3247642625
104	0.3240236043
105	0.323226041
106	0.3222471892
107	0.3217340554
108	0.3212506486
109	0.3206198907
110	0.3202790931
111	0.3198828526
112	0.3190439886
113	0.3183913803
114	0.3177359309
115	0.3169621762
116	0.3166350011
117	0.3160237237
118	0.3153275081
119	0.3145756027
120	0.3138153662
121	0.3132671228
122	0.312890172
123	0.3120094463
124	0.3114082226
125	0.3107982175
126	0.3103562099
127	0.309995454
128	0.3094041582
129	0.3088741594
130	0.3083215439
131	0.3075023788
132	0.3070829373
133	0.306547603
134	0.3060166472
135	0.3056014947
136	0.305173695
137	0.30474476
138	0.3037723126
139	0.3032121448
140	0.3026309535
141	0.302071039
142	0.3014870603
143	0.3011299685
144	0.3002127404
145	0.2997038656
146	0.2993165273
147	0.2989586429
148	0.2983579106
149	0.2978948087
150	0.2973900504
151	0.2970202845
152	0.2964392655
153	0.2962868755
154	0.295581221
155	0.295197777
156	0.2948172412
157	0.2943567859
158	0.2940526012
159	0.2936871945
160	0.2931659597
161	0.2929999784
162	0.292560331
163	0.2919936801
164	0.2915767706
165	0.2909635191
166	0.2904462254
167	0.2895976234
168	0.2890866735
169	0.2883678351
170	0.2876322887
171	0.2874730435
172	0.2866606179
173	0.2863001304
174	0.2859782186
175	0.2851126583
176	0.2846724268
177	0.2841072595
178	0.2839300255
179	0.2832428574
180	0.2827488164
181	0.2822601323
182	0.2817706347
183	0.2813543599
184	0.2808726191
185	0.2802825881
186	0.2798421425
187	0.2792180121
188	0.2787051046
189	0.2783470191
190	0.2780022508
191	0.2773531292
192	0.2766413972
193	0.2763176734
194	0.2756378004
195	0.2752973306
196	0.2745182158
197	0.2741682539
198	0.2737548937
199	0.2734570795
200	0.2728619532
201	0.2724854727
202	0.2722365512
203	0.2715791195
204	0.2709996338
205	0.2702821723
206	0.2699276812
207	0.2694707801
208	0.2691581822
209	0.2687902717
210	0.2685540061
211	0.2682814978
212	0.2678967936
213	0.2673995811
214	0.2671275443
215	0.2666351896
216	0.2659612767
217	0.2657162119
218	0.2649966031
219	0.2643696866
220	0.2639915323
221	0.2635977922
222	0.263230698
223	0.2627836404
224	0.2622267121
225	0.2616447367
226	0.2612082726
227	0.2610308485
228	0.260421122
229	0.2600596565
230	0.2596997247
231	0.2593313234
232	0.2590509313
233	0.2585841694
234	0.2581105651
235	0.2574565466
236	0.2572432157
237	0.2567049936
238	0.256442583
239	0.2558990984
240	0.2554348031
241	0.2549376995
242	0.2547557289
243	0.2541616597
244	0.2537843541
245	0.2533539484
246	0.2529002989
247	0.2525489173
248	0.2522385502
249	0.2518570633
250	0.2515551888
251	0.2508283299
252	0.250378963
253	0.2498506612
254	0.2494208717
255	0.249243881
256	0.248925145
257	0.248332048
258	0.247574853
259	0.2473388532
260	0.2470383659
261	0.2465655911
262	0.2458970805
263	0.2457457196
264	0.245515141
265	0.2453601357
266	0.2450318441
267	0.2446022256
268	0.2443682127
269	0.2440778474
270	0.2437374226
271	0.243417415
272	0.2431046239
273	0.242697975
274	0.2423270267
275	0.2417940611
276	0.2413565507
277	0.2408922534
278	0.240640075
279	0.240326343
280	0.2400544859
281	0.2394358023
282	0.2389688384
283	0.2387207162
284	0.2383284744
285	0.2379742547
286	0.2374683187
287	0.2372624342
288	0.2368723888
289	0.2365960307
290	0.2363374448
291	0.236053314
292	0.2356819515
293	0.2352329595
294	0.2349743841
295	0.2345544822
296	0.2340896916
297	0.2338159148
298	0.233748464
299	0.2331319263
300	0.2326160934
301	0.2321876843
302	0.231817354
303	0.2313861195
304	0.2311328536
305	0.230795065
306	0.2303086939
307	0.229646369
308	0.2292411881
309	0.228958169
310	0.2287954717
311	0.2283246597
312	0.2279155029
313	0.2275456509
314	0.2272971883
315	0.2268532947
316	0.226414382
317	0.2259222671
318	0.2254451231
319	0.2250675418
320	0.2248400432
321	0.2245988353
322	0.2243630909
323	0.2240698361
324	0.2237194617
325	0.2234341908
326	0.2230202595
327	0.2226385952
328	0.222122222
329	0.2217019824
330	0.221377576
331	0.2210832795
332	0.220722096
333	0.2203273106
334	0.2198827205
335	0.2194282511
336	0.2190177041
337	0.2187246664
338	0.2185518382
339	0.2182359639
340	0.2180728958
341	0.2178921086
342	0.2174968615
343	0.2171614223
344	0.2165774394
345	0.2162065524
346	0.2159176338
347	0.2157634529
348	0.2154867775
349	0.2153515049
350	0.2149552377
351	0.214683417
352	0.2142458205
353	0.2142286169
354	0.2138481674
355	0.2134367038
356	0.2132082743
357	0.2127961461
358	0.2126105698
359	0.2123069034
360	0.2121888853
361	0.2118970058
362	0.2116915826
363	0.211361881
364	0.2112343857
365	0.2110574153
366	0.2110498904
367	0.21086768
368	0.2106686723
369	0.2102550557
370	0.21000314
371	0.2096133714
372	0.2092658808
373	0.2089636132
374	0.2087629139
375	0.2085383655
376	0.2081894705
377	0.2077513112
378	0.2070494434
379	0.2065879722
380	0.2063984642
381	0.2059961221
382	0.205714768
383	0.2054276177
384	0.2052097808
385	0.2049106994
386	0.2048161976
387	0.2044264111
388	0.2039702755
