iter	Passed	Remaining
0	60	30402
1	63	15867
2	66	10971
3	68	8538
4	71	7036
5	73	6022
6	75	5300
7	77	4761
8	79	4334
9	81	3984
10	83	3702
11	85	3459
12	86	3254
13	88	3079
14	90	2925
15	92	2792
16	93	2670
17	95	2563
18	97	2466
19	99	2379
20	100	2299
21	102	2226
22	104	2158
23	105	2094
24	107	2036
25	108	1983
26	110	1932
27	111	1886
28	113	1843
29	114	1800
30	116	1763
31	117	1720
32	119	1687
33	120	1657
34	122	1627
35	124	1598
36	125	1570
37	126	1542
38	128	1519
39	130	1496
40	131	1473
41	133	1461
42	135	1439
43	137	1419
44	138	1400
45	140	1382
46	141	1365
47	143	1346
48	144	1329
49	145	1313
50	147	1297
51	149	1285
52	150	1271
53	152	1257
54	153	1244
55	155	1232
56	156	1219
57	158	1207
58	159	1195
59	161	1183
60	162	1171
61	164	1160
62	165	1150
63	167	1142
64	169	1133
65	170	1123
66	172	1113
67	173	1105
68	175	1096
69	176	1086
70	178	1078
71	179	1069
72	181	1060
73	182	1052
74	184	1044
75	185	1036
76	187	1028
77	188	1021
78	190	1014
79	191	1007
80	193	1000
81	194	992
82	196	985
83	197	979
84	199	972
85	200	966
86	202	959
87	203	953
88	205	947
89	206	941
90	208	935
91	209	930
92	211	924
93	212	918
94	214	913
95	215	908
96	217	902
97	218	897
98	220	892
99	221	887
100	223	882
101	224	876
102	226	872
103	227	867
104	229	862
105	230	857
106	232	852
107	233	848
108	235	843
109	236	839
110	238	835
111	239	830
112	241	826
113	242	821
114	244	817
115	245	813
116	247	809
117	248	805
118	250	801
119	251	797
120	253	793
121	254	789
122	256	785
123	257	781
124	259	777
125	260	774
126	262	770
127	264	767
128	266	765
129	267	762
130	269	758
131	270	754
132	272	751
133	273	747
134	275	744
135	277	741
136	278	739
137	280	736
138	282	733
139	284	730
140	285	727
141	286	723
142	288	720
143	290	717
144	291	714
145	293	711
146	295	708
147	296	705
148	298	703
149	300	700
150	301	697
151	303	694
152	304	691
153	306	688
154	308	685
155	309	683
156	311	680
157	313	677
158	315	675
159	316	673
160	318	670
161	319	667
162	321	664
163	323	661
164	324	658
165	326	656
166	327	653
167	329	650
168	331	648
169	332	646
170	334	643
171	335	640
172	337	637
173	338	634
174	340	632
175	341	629
176	343	626
177	344	623
178	346	621
179	348	619
180	350	617
181	351	614
182	353	611
183	354	609
184	356	606
185	357	603
186	359	601
187	360	598
188	362	595
189	364	594
190	366	592
191	367	589
192	368	586
193	370	584
194	371	581
195	373	579
196	375	577
197	376	574
198	378	571
199	379	569
200	381	568
201	383	565
202	384	563
203	386	560
204	387	558
205	389	555
206	391	553
207	392	551
208	394	548
209	395	546
210	397	544
211	399	542
212	400	539
213	401	537
214	403	534
215	404	532
216	406	529
217	407	527
218	409	525
219	410	522
220	412	520
221	414	519
222	416	516
223	417	514
224	418	512
225	420	509
226	422	507
227	423	505
228	425	503
229	426	500
230	428	498
231	430	496
232	431	494
233	433	492
234	434	490
235	436	487
236	437	485
237	439	483
238	440	481
239	442	479
240	443	477
241	445	475
242	447	473
243	448	471
244	450	468
245	451	466
246	453	464
247	454	462
248	456	460
249	457	457
250	459	455
251	460	453
252	462	451
253	464	449
254	465	447
255	467	445
256	469	443
257	470	441
258	472	439
259	473	437
260	475	435
261	476	433
262	478	431
263	480	429
264	482	427
265	484	425
266	485	423
267	486	421
268	488	419
269	489	417
270	491	415
271	493	413
272	494	411
273	496	409
274	497	407
275	499	405
276	500	403
277	502	401
278	503	399
279	505	397
280	506	394
281	508	392
282	509	390
283	511	388
284	513	387
285	514	385
286	516	383
287	517	381
288	519	379
289	520	377
290	522	375
291	523	373
292	525	371
293	527	369
294	528	367
295	530	365
296	531	363
297	533	361
298	535	359
299	536	357
300	537	355
301	539	353
302	540	351
303	542	349
304	543	347
305	546	346
306	547	344
307	549	342
308	550	340
309	552	338
310	553	336
311	554	334
312	556	332
313	557	330
314	559	328
315	560	326
316	562	324
317	564	323
318	565	321
319	567	319
320	568	317
321	570	315
322	571	313
323	573	311
324	574	309
325	576	307
326	578	306
327	580	304
328	582	302
329	583	300
330	585	298
331	586	296
332	588	295
333	590	293
334	592	291
335	593	289
336	596	288
337	598	286
338	599	284
339	600	282
340	602	281
341	604	279
342	605	277
343	607	275
344	608	273
345	610	271
346	612	270
347	614	268
348	616	266
349	617	264
350	619	262
351	620	261
352	622	259
353	624	257
354	625	255
355	627	253
356	629	252
357	631	250
358	632	248
359	634	246
360	635	244
361	637	242
362	638	241
363	640	239
364	641	237
365	643	235
366	645	234
367	647	232
368	649	230
369	650	228
370	652	226
371	653	224
372	654	223
373	656	221
374	658	219
375	659	217
376	661	215
377	663	214
378	664	212
379	665	210
380	667	208
381	669	206
382	670	204
383	672	203
384	673	201
385	675	199
386	677	197
387	678	195
388	679	194
389	681	192
390	682	190
391	684	188
392	685	186
393	687	184
394	688	183
395	690	181
396	691	179
397	693	177
398	694	175
399	696	174
400	697	172
401	699	170
402	700	168
403	702	166
404	703	165
405	705	163
406	707	161
407	708	159
408	710	157
409	711	156
410	712	154
411	714	152
412	715	150
413	717	149
414	719	147
415	720	145
416	722	143
417	723	141
418	725	140
419	727	138
420	728	136
421	730	134
422	731	133
423	733	131
424	734	129
425	736	127
426	738	126
427	739	124
428	741	122
429	742	120
430	744	119
431	745	117
432	747	115
433	748	113
434	750	112
435	751	110
436	753	108
437	754	106
438	756	105
439	757	103
440	759	101
441	761	99
442	762	98
443	764	96
444	765	94
445	767	92
446	768	91
447	770	89
448	771	87
